,Model_Name,Price,CC,Mileage,Weight
0,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
2,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
3,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
4,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
5,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
6,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
7,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
8,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
9,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
10,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
11,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
12,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
13,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
14,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
15,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
16,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
17,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
18,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
19,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
20,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
21,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
22,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
23,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
24,Bajaj Pulsar 150,95872,149.5 CC,65 Km/l,144 Kg
25,Hero Super Splendor,73900,124.7 CC,60 Km/l,123 Kg
26,Bajaj Pulsar 125,72122,124.4 CC,62 Km/l,140 Kg
27,Yamaha FZ S V3.0 FI,115900,149.0 CC,45 Km/l,135 Kg
28,Bajaj Pulsar 220,123245,220.0 CC,40 Km/l,155 Kg
29,Bajaj Pulsar NS 125,93818,124.4 CC,,144 Kg
30,Hero Passion Pro i3S,67400,113.2 CC,84 Km/l,117 Kg
31,KTM RC 125,180538,124.7 CC,41.3 Km/l,135 Kg
32,Honda CB Unicorn 160,98931,162.7 CC,62 Km/l,134 Kg
33,Yamaha MT-15 V2.0,160900,155.0 CC,48 Km/l,139 Kg
34,Yamaha R15 V3.0,157600,155.0 CC,30 Km/l,142 Kg
35,Hero Pleasure + 110,61900,110.9 CC,69 Km/l,104 Kg
36,Hero HF Deluxe i3s,59800,97.2 CC,88.5 Km/l,110 Kg
37,Hero Xtreme 160R,111610,163.0 CC,55 Km/l,139 Kg
38,Hero Glamour 125,74900,124.7 CC,60 Km/l,126 Kg
39,Hero XPulse 200 4V,130150,199.6 CC,,158 Kg
40,Hero Maestro Edge,65900,110.9 CC,65 Km/l,112 Kg
41,Royal Enfield Continental GT 650,298079,648.0 CC,25.5 Km/l,198 Kg
43,Hero Splendor Pro,49598,97.2 CC,65 Km/l,112 Kg
44,Royal Enfield Scram 411,203000,411.0 CC,,185 Kg
45,Kawasaki Ninja H2R,7990000,998.0 CC,15 Km/l,216 Kg
46,Hero Xtreme 200S,120214,199.6 CC,36.9 Km/l,155 Kg
47,Hero Splendor iSmart,65950,113.2 CC,75 Km/l,116 Kg
48,Hero XPulse 200,118230,199.6 CC,42 Km/l,157 Kg
49,TVS XL 100,40990,99.7 CC,67 Km/l,88 Kg
50,Hero XPulse 200T,115800,199.6 CC,43 Km/l,154 Kg
51,Royal Enfield Interceptor 650,281518,648.0 CC,25.5 Km/l,202 Kg
52,Hero Maestro Edge 125,73450,124.6 CC,49 Km/l,110 Kg
53,TVS Raider,84573,124.8 CC,67 Km/l,123 Kg
54,Yamaha YZF R15 V4.0,170800,155.0 CC,45 Km/l,142 Kg
