Model_Name,Price,CC,Mileage,Weight
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Bajaj Pulsar 150,95872,149.5 CC,65 Km/l,144 Kg
Hero Super Splendor,73900,124.7 CC,60 Km/l,123 Kg
Bajaj Pulsar 125,72122,124.4 CC,62 Km/l,140 Kg
Yamaha FZ S V3.0 FI,115900,149.0 CC,45 Km/l,135 Kg
Bajaj Pulsar 220,123245,220.0 CC,40 Km/l,155 Kg
Bajaj Pulsar NS 125,93818,124.4 CC,,144 Kg
Hero Passion Pro i3S,67400,113.2 CC,84 Km/l,117 Kg
KTM RC 125,180538,124.7 CC,41.3 Km/l,135 Kg
Honda CB Unicorn 160,98931,162.7 CC,62 Km/l,134 Kg
Yamaha MT-15 V2.0,160900,155.0 CC,48 Km/l,139 Kg
Yamaha R15 V3.0,157600,155.0 CC,30 Km/l,142 Kg
Hero Pleasure + 110,61900,110.9 CC,69 Km/l,104 Kg
Hero HF Deluxe i3s,59800,97.2 CC,88.5 Km/l,110 Kg
Hero Xtreme 160R,111610,163.0 CC,55 Km/l,139 Kg
Hero Glamour 125,74900,124.7 CC,60 Km/l,126 Kg
Hero XPulse 200 4V,130150,199.6 CC,,158 Kg
Hero Maestro Edge,65900,110.9 CC,65 Km/l,112 Kg
Royal Enfield Continental GT 650,298079,648.0 CC,25.5 Km/l,198 Kg
Hero Splendor Pro,49598,97.2 CC,65 Km/l,112 Kg
Royal Enfield Scram 411,203000,411.0 CC,,185 Kg
Kawasaki Ninja H2R,7990000,998.0 CC,15 Km/l,216 Kg
Hero Xtreme 200S,120214,199.6 CC,36.9 Km/l,155 Kg
Hero Splendor iSmart,65950,113.2 CC,75 Km/l,116 Kg
Hero XPulse 200,118230,199.6 CC,42 Km/l,157 Kg
TVS XL 100,40990,99.7 CC,67 Km/l,88 Kg
Hero XPulse 200T,115800,199.6 CC,43 Km/l,154 Kg
Royal Enfield Interceptor 650,281518,648.0 CC,25.5 Km/l,202 Kg
Hero Maestro Edge 125,73450,124.6 CC,49 Km/l,110 Kg
TVS Raider,84573,124.8 CC,67 Km/l,123 Kg
Yamaha YZF R15 V4.0,170800,155.0 CC,45 Km/l,142 Kg
Yamaha YZF R1,2039233,998.0 CC,20 Km/l,200 Kg
Honda CD 110 Dream,65248,109.5 CC,74 Km/l,109 Kg
Bajaj Platina 110,65930,115.0 CC,80 Km/l,108 Kg
Bajaj Pulsar 200 NS,131219,199.5 CC,35 Km/l,152 Kg
TVS Apache RTR 160,112940,159.7 CC,48 Km/l,139 Kg
Honda Hornet 2.0,132238,184.4 CC,40 Km/l,142 Kg
KTM RC 200,213000,199.5 CC,35 Km/l,151 Kg
Bajaj Platina 100,52915,102.0 CC,96.9 Km/l,117 Kg
Suzuki Gixxer SF,129300,154.9 CC,47 Km/l,146 Kg
TVS Jupiter,70085,109.7 CC,62 Km/l,109 Kg
Yamaha Aerox 155,129000,155.0 CC,,122 Kg
Bajaj Avenger Cruise 220,122630,220.0 CC,40 Km/l,159 Kg
Honda Livo,70799,109.5 CC,74 Km/l,115 Kg
Kawasaki Ninja 300,337000,296.0 CC,26 Km/l,179 Kg
TVS Ntorq 125,77106,124.8 CC,60 Km/l,118 Kg
Yamaha FZ 25,134800,249.0 CC,43 Km/l,153 Kg
Honda X-Blade,111895,162.7 CC,45 Km/l,143 Kg
Suzuki V-Strom SX 250,211600,249.0 CC,,167 Kg
Honda Activa 125 FI,72637,124.0 CC,45 Km/l,111 Kg
Bajaj CT 100,40794,102.0 CC,89.5 Km/l,114 Kg
Hero HF 100,49400,97.2 CC,70 Km/l,110 Kg
Suzuki New Access 125,72600,124.0 CC,64 Km/l,103 Kg
Bajaj Pulsar NS160,110086,160.3 CC,45 Km/l,151 Kg
KTM RC 390,314000,373.2 CC,35 Km/l,147 Kg
JAWA Forty Two,171415,293.0 CC,37.5 Km/l,170 Kg
Yamaha Fascino 125,70000,125.0 CC,66 Km/l,99 Kg
Bajaj Pulsar 180,108000,178.6 CC,45 Km/l,151 Kg
Hero Destini 125,67990,124.6 CC,54 Km/l,113 Kg
Honda CB 350 RS,196006,348.4 CC,35 Km/l,179 Kg
KTM 250 Duke,228736,248.8 CC,30 Km/l,169 Kg
TVS Apache RTR 160 4V,111565,159.7 CC,30 Km/l,145 Kg
BMW G 310 R,250000,313.0 CC,30 Km/l,158 Kg
Yamaha Ray-ZR 125FI,73330,125.0 CC,66 Km/l,99 Kg
TVS Radeon,59942,109.7 CC,69 Km/l,116 Kg
Suzuki Hayabusa,1640000,1340.0 CC,11 Km/l,266 Kg
KTM 390 Duke,287545,373.2 CC,35 Km/l,167 Kg
Yamaha MT-09,1055354,847.0 CC,19 Km/l,193 Kg
TVS Sport,52500,109.7 CC,76.4 Km/l,110 Kg
Bajaj Pulsar N250,138000,249.1 CC,,162 Kg
Benelli TNT 600i,620000,600.0 CC,19 Km/l,231 Kg
Honda CBR 1000RR,1643309,999.0 CC,18 Km/l,195 Kg
Yezdi Roadster,198142,334.0 CC,,184 Kg
Suzuki Avenis,86500,124.3 CC,55 Km/l,106 Kg
TVS Scooty Pep +,52554,87.8 CC,65 Km/l,95 Kg
TVS Apache RR 310,259000,312.2 CC,30 Km/l,170 Kg
KTM 200 Duke,190000,199.5 CC,35 Km/l,159 Kg
Suzuki Gixxer SF 250,181900,249.0 CC,38.5 Km/l,161 Kg
Kawasaki Ninja ZX-10R,1537000,998.0 CC,15 Km/l,206 Kg
BMW S 1000 RR,1950000,999.0 CC,17 Km/l,197 Kg
Suzuki Burgman,84300,124.0 CC,53.5 Km/l,110 Kg
Bajaj Dominar 250,154176,248.8 CC,35 Km/l,180 Kg
TVS Star City +,65865,109.7 CC,86 Km/l,116 Kg
TVS Apache RTR 180,103950,177.4 CC,47 Km/l,139 Kg
Bajaj CT 110,46413,115.0 CC,104 Km/l,117 Kg
Yamaha FZ-X,116800,149.0 CC,,139 Kg
Bajaj Avenger Street 160,101094,160.3 CC,45 Km/l,156 Kg
Kawasaki Ninja 650,668000,649.0 CC,21 Km/l,196 Kg
TVS Victor,54042,109.7 CC,72 - 76 Km/l,112 Kg
Honda Grazia,82566,124.0 CC,54 Km/l,107 Kg
Bajaj Avenger Street 220,103891,220.0 CC,45 Km/l,150 Kg
JAWA Perak,208187,334.0 CC,35 Km/l,175 Kg
Bajaj Pulsar RS 200,152179,199.5 CC,35 Km/l,165 Kg
Piaggio Vespa,91492,125.0 CC,45 Km/l,114 Kg
BMW R 1250 GS,2045000,1254.0 CC,21 Km/l,249 Kg
Suzuki Intruder,126500,154.9 CC,44 Km/l,152 Kg
KTM 125 Duke,176000,124.7 CC,34.5 Km/l,148 Kg
Honda Gold Wing,3971822,1833.0 CC,14 Km/l,390 Kg
TVS Jupiter 125,73400,124.8 CC,50 Km/l,109 Kg
Suzuki Gixxer,118800,154.9 CC,64 Km/l,140 Kg
Aprilia SR 150,75733,154.8 CC,40 Km/l,122 Kg
Honda CB200X,144500,184.4 CC,,147 Kg
Husqvarna Svartpilen 250,218000,248.8 CC,35 Km/l,154 Kg
TVS Scooty Zest 110,59925,109.7 CC,62 Km/l,97 Kg
Yamaha R15S V3.0,158939,155.0 CC,,142 Kg
Kawasaki Ninja 400,499000,399.0 CC,25 Km/l,173 Kg
Kawasaki Z900,850000,948.0 CC,15 Km/l,208 Kg
Kawasaki Ninja 1000,1151000,1043.0 CC,17 Km/l,238 Kg
Yamaha FZ V3.0 FI,99200,149.0 CC,45 Km/l,137 Kg
Honda H Ness CB 350,196239,348.4 CC,42 Km/l,181 Kg
Indian Scout Bobber,1199000,1133.0 CC,14 Km/l,245 Kg
BMW R nine T,1850000,1170.0 CC,22 Km/l,208 Kg
Yamaha Fazer 25,144180,249.0 CC,43 Km/l,154 Kg
Kawasaki Ninja H2,3499000,998.0 CC,15 Km/l,238 Kg
JAWA 42,193142,293.0 CC,37 Km/l,170 Kg
Bajaj Dominar 400 [2019],202755,373.3 CC,27 Km/l,184 Kg
TVS Apache RTR 200 4V,129315,197.8 CC,32 Km/l,149 Kg
Kawasaki Z1000,1510000,1043.0 CC,15 Km/l,221 Kg
Kawasaki Z250,308000,249.0 CC,26 Km/l,168 Kg
BMW G 310 GS,290000,313.0 CC,30 Km/l,169 Kg
Benelli Imperiale 400,189799,374.0 CC,31.25 Km/l,205 Kg
Husqvarna Vitpilen 250,215000,248.8 CC,35 Km/l,152 Kg
MV Agusta F3 800 RC,2149086,798.0 CC,14 Km/l,173 Kg
Yezdi Scrambler,204900,334.0 CC,,182 Kg
Yamaha FZS 25,143300,249.0 CC,43 Km/l,154 Kg
BMW R 1200,1585000,1170.0 CC,18 - 24 Km/l,244 Kg
Harley-Davidson Fat Boy,1825000,1868.0 CC,15 Km/l,304 Kg
BMW K 1600,2830000,1649.0 CC,15 Km/l,350 Kg
Honda CB300R,277000,286.0 CC,30.2 Km/l,146 Kg
Triumph Tiger 1200,1919000,1160.0 CC,18 Km/l,245 Kg
Harley-Davidson Iron 883,938000,883.0 CC,20 Km/l,256 Kg
Yezdi Adventure,209900,334.0 CC,,188 Kg
Kawasaki Ninja ZX-10RR,1698000,998.0 CC,15 Km/l,206 Kg
